id,x_gis,y_gis,x_nlogo,y_nlogo
235,164119.0265891961,5398270.774448876,86.88057155897448,23.12550322243125
236,164118.23175376005,5398271.903048375,86.69528463828365,23.357764543000954
237,164114.78531659677,5398276.796696943,85.8918733906441,24.364858096137937
238,164113.979904451,5398277.916255822,85.7041208954615,24.595258892963017
239,163884.097935825,5398438.999434027,32.11551606276399,57.745540940478804
240,163882.72511330136,5398438.929981837,31.79549251257197,57.731247954037315
241,163783.79907461992,5398400.407276736,8.7344911376061,49.80342734868623
242,163783.7234924642,5398399.032545333,8.716871911967147,49.520513054022814
243,163813.59930230543,5398124.997297779,15.68132839895489,-6.874858881377548
244,163814.31803177137,5398123.82364817,15.848873985770467,-7.116391336845155
245,163831.04306651276,5398453.026002406,19.747706429770744,60.63215332989128
246,163831.1864044509,5398451.657030647,19.78112044728111,60.35042434709612
247,163832.57927548568,5398438.354181665,20.105817577339806,57.61275055214011
248,163832.63902810123,5398437.772350289,20.119746722463333,57.49301195227045
249,163831.65532371216,5398399.79275324,19.890431887144572,49.676960839710546
250,163833.01516605576,5398399.973406718,20.207429581316845,49.71413861218778
251,163826.3008562049,5398447.234087147,18.64223288723838,59.44020003854163
252,163826.37298772874,5398448.609102838,18.65904772378161,59.7231728385691
253,163828.30460703932,5398398.502254033,19.1093343841074,49.411381198441916
254,163828.1316503148,5398397.135336138,19.06901582577032,49.13007489281017
255,163783.79907461992,5398400.407276736,8.7344911376061,49.80342734868623
256,163784.3477332021,5398401.67162369,8.862390894703836,50.06362495970862
257,163838.10072222902,5398418.919816184,21.392941701959643,53.61323487151205
258,163837.91277780343,5398417.554097968,21.34912930721788,53.33217545517411
259,163831.65532371216,5398399.79275324,19.890431887144572,49.676960839710546
260,163830.37299901785,5398399.29887727,19.591504608416187,49.57532311509601
261,163786.69338138058,5398462.796987025,9.409193299714076,62.6429833843375
262,163786.20438455328,5398461.505437076,9.295201506884283,62.37718750444344
263,163779.90289244216,5398441.242454484,7.826238227087373,58.20714569414619
264,163779.79992531493,5398440.321864665,7.8022351931623035,58.017691944174686
265,163424.8048487593,5398246.39360199,-74.95193203795236,18.10802119956591
266,163425.6099661456,5398245.273789114,-74.76424825519828,17.877568131199865
267,163492.9546410233,5398151.605412453,-59.065291128728944,-1.399013941822119
268,163493.7897040133,5398150.511222237,-58.8706266195955,-1.6241939680607942
269,163500.22380377207,5398142.0805589175,-57.370750698540036,-3.359191191220944
270,163501.0195747097,5398140.952776011,-57.18524569973932,-3.591284460378162
271,163546.49931609505,5398076.497599638,-46.58330112983664,-16.855905260666376
272,163547.2952321688,5398075.369954185,-46.39776229783858,-17.08797024254561
273,163623.37655643708,5397967.577759457,-28.66217370109115,-39.271178306713985
274,163624.1761214425,5397966.45325594,-28.475784253632867,-39.50259669039604
275,163719.99074249694,5397831.698599291,-6.1400965284451985,-67.2345729583723
276,163720.76195546755,5397830.554410688,-5.960316324844939,-67.47004245519126
277,163744.74819724954,5397794.96778613,-0.3687980341336896,-74.79362927765865
278,163745.54274630244,5397793.8390293075,-0.18357787323870411,-75.02592297481763
279,163652.00792946937,5398392.188028358,-21.987812312873558,48.11193848574575
280,163650.7826358161,5398391.566926003,-22.273444882409336,47.9841180735761
281,163638.46034743974,5398385.320736707,-25.14593743318426,46.698676979100895
282,163637.23543592196,5398384.698949611,-25.431480921757412,46.57071564975507
283,163472.75015344424,5398146.673995124,-63.775231221868296,-2.4138801567827386
284,163472.99208201727,5398145.316657962,-63.71883439015832,-2.69321478533962
285,163402.61887424416,5398079.616197857,-80.12378361128704,-16.21411006078688
286,163401.50318908165,5398078.808058222,-80.38386495498249,-16.380422006831964
287,163396.12894793093,5398074.9152571,-81.6366734593749,-17.181545107215683
288,163395.35529460135,5398074.3548616525,-81.81702254375207,-17.29687227763209
289,163452.0669920548,5398310.764092949,-68.59675667257663,31.355214076007854
290,163452.81206222807,5398309.605177567,-68.42307070961884,31.116713866322925
291,163454.08187483813,5398307.630053904,-68.12706016743181,30.71024121504209
