lanes_,maxspeed,oneway_,isRound_,isOpBus_,busBid_,type_,category_,id_,lat_,lon_,busRts_
0,30.0,yes,False,False,,residential,road,26265907,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,26265910,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,26265910,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,26265910,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,26265911,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26265915,0.0,0.0,[]
0,30.0,,False,False,,service,road,26285657,0.0,0.0,[]
0,30.0,,False,False,,service,road,26285660,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26285661,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26285661,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26285661,0.0,0.0,[]
0,50.0,,False,False,,service,road,26285665,0.0,0.0,[]
0,50.0,,False,False,,service,road,26285665,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26285673,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26285673,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26285674,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26285675,0.0,0.0,[]
0,30.0,,False,False,,service,road,49324837,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
0,50.0,,False,False,,service,road,68094986,0.0,0.0,[]
1,50.0,yes,False,True,,busway,road,80141731,0.0,0.0,"[37, L7, 27]"
1,50.0,yes,False,True,,busway,road,84808016,0.0,0.0,"[37, L7, 27]"
1,30.0,,True,False,,tertiary,road,84816944,0.0,0.0,[]
2,30.0,,False,True,,tertiary,road,84842367,0.0,0.0,[L7]
0,50.0,,False,False,,footway,pedestrian,93612862,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,93612862,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,150061815,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,150061815,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,150331716,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,150331716,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,151231036,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,151231036,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,151231036,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,151231636,0.0,0.0,[]
0,50.0,,False,False,,service,road,154096095,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558748,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558748,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558748,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558750,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558750,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558750,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558756,0.0,0.0,[]
